TIMESTAMP,ID,NCH1,NCH2,NCH3,NCH4,NCH5,NCH6,NCH7,NCH8,NCH9,NCH10,NCH11,NCH12,NCH13,NCH14,NCH15,NCH16,NCH17,NCH18,NCH19,NCH20
2022-06-21 14:00:00.908983,ADTC,51,240,240,243,434,422,405,88,86,96,90.0,67.65192,99,0.94,3.37,4.13,3.01,3.57,99,0.0
2022-06-21 14:00:02.914738,ADTC,51,232,220,238,431,415,428,97,75,80,84.0,62.705327999999994,98,0.86,2.81,4.82,2.85,3.26,98,0.0
2022-06-21 14:00:04.920584,ADTC,49,244,247,249,422,419,417,78,72,72,74.0,54.086896,85,0.93,2.51,3.02,3.12,3.03,85,0.0
2022-06-21 14:00:06.926076,ADTC,50,237,222,232,409,412,417,89,93,71,84.33333333333333,59.74072133333333,80,0.92,2.85,4.87,3.06,4.3,80,0.0
2022-06-21 14:00:08.931799,ADTC,51,232,229,242,431,440,407,75,90,82,82.33333333333333,61.46117466666666,100,0.92,4.32,3.88,3.65,4.48,100,0.0
2022-06-21 14:00:10.937563,ADTC,51,225,222,233,433,432,413,95,95,82,90.66666666666667,67.99601066666666,83,0.86,4.7,3.46,2.66,3.89,83,0.0
2022-06-21 14:00:12.943613,ADTC,50,247,244,242,406,437,429,91,90,88,89.66666666666667,63.05288266666667,94,0.91,2.66,4.64,3.81,3.86,94,0.0
2022-06-21 14:00:14.949780,ADTC,51,231,235,248,406,428,417,96,100,75,90.33333333333333,63.521677333333336,77,0.92,3.15,4.34,3.81,3.82,77,0.0
2022-06-21 14:00:16.955227,ADTC,50,245,234,220,422,416,410,88,98,96,94.0,68.704976,75,0.95,2.72,2.54,3.25,4.82,75,0.0
2022-06-21 14:00:18.960460,ADTC,50,220,245,238,412,419,432,79,80,82,80.33333333333333,57.32458133333333,72,0.99,2.6,4.32,4.03,3.39,72,0.0
2022-06-21 14:00:20.966689,ADTC,50,227,243,233,426,434,433,80,73,79,77.33333333333333,57.05900799999999,90,0.94,3.88,4.59,4.17,3.65,90,0.0
2022-06-21 14:00:22.973209,ADTC,51,244,245,247,423,418,427,84,88,78,83.33333333333333,61.05299999999999,89,1.0,3.26,2.67,2.75,3.48,89,0.0
2022-06-21 14:00:24.978423,ADTC,50,249,240,220,424,429,432,97,76,73,82.0,60.21817599999999,81,0.88,4.09,3.21,4.09,3.49,81,0.0
2022-06-21 14:00:26.983811,ADTC,51,220,226,233,409,422,425,100,88,72,86.66666666666667,61.39362666666667,75,0.95,4.08,3.56,2.76,2.65,75,0.0
2022-06-21 14:00:28.989524,ADTC,51,245,248,244,423,416,420,86,84,97,89.0,65.204604,97,1.0,3.35,3.62,3.05,3.49,97,0.0
2022-06-21 14:00:30.995688,ADTC,51,249,236,221,421,406,411,93,70,72,78.33333333333333,57.118473333333334,99,0.96,4.93,3.63,3.54,4.86,99,0.0
2022-06-21 14:00:33.001418,ADTC,50,220,238,247,418,413,440,77,87,100,88.0,63.709888,86,0.9,2.78,3.02,3.37,4.0,86,0.0
2022-06-21 14:00:35.006805,ADTC,51,243,233,231,409,410,436,83,98,88,89.66666666666667,63.518790666666675,75,0.89,4.21,3.95,3.17,3.49,75,0.0
2022-06-21 14:00:37.012896,ADTC,50,242,246,245,416,427,425,75,74,96,81.66666666666667,58.841813333333334,86,0.99,4.07,4.48,3.06,2.81,86,0.0
2022-06-21 14:00:39.019820,ADTC,49,220,229,237,436,426,434,72,90,82,81.33333333333333,61.419029333333334,88,0.97,4.32,4.27,3.91,2.96,88,0.0
2022-06-21 14:00:41.024202,ADTC,50,235,220,244,418,411,433,77,86,88,83.66666666666667,60.57265866666667,75,0.93,3.1,2.87,3.56,3.61,75,0.0
2022-06-21 14:00:43.029915,ADTC,50,231,234,241,430,407,431,96,91,70,85.66666666666667,63.80110666666667,85,0.95,2.85,2.99,4.07,2.71,85,0.0
2022-06-21 14:00:45.034396,ADTC,51,230,225,247,431,419,418,79,92,75,82.0,61.212343999999995,87,0.97,2.63,3.38,4.74,2.72,87,0.0
2022-06-21 14:00:47.040217,ADTC,50,228,239,229,426,433,413,84,96,73,84.33333333333333,62.223831999999994,90,0.88,3.56,4.34,2.64,2.51,90,0.0
2022-06-21 14:00:49.045157,ADTC,50,246,235,223,431,424,421,85,76,93,84.66666666666667,63.20298933333333,99,0.99,4.4,3.22,4.95,3.34,99,0.0
2022-06-21 14:00:51.050704,ADTC,50,250,220,226,412,430,425,95,91,98,94.66666666666667,67.55261866666666,78,0.87,3.8,4.93,2.56,3.35,78,0.0
2022-06-21 14:00:53.056676,ADTC,50,235,220,238,440,412,419,94,98,70,87.33333333333333,66.55498666666666,81,0.9,3.14,3.01,2.93,2.96,81,0.0
2022-06-21 14:00:55.062038,ADTC,50,248,221,225,409,413,439,87,77,95,86.33333333333333,61.15749733333333,98,0.87,4.37,3.0,2.82,4.71,98,0.0
2022-06-21 14:00:57.068212,ADTC,50,240,226,247,430,417,415,90,79,95,88.0,65.53888,98,0.97,3.45,4.07,2.88,3.46,98,0.0
2022-06-21 14:00:59.073939,ADTC,49,231,222,246,433,428,431,95,80,72,82.33333333333333,61.74637733333333,71,0.94,3.84,2.99,4.6,4.08,71,0.0
2022-06-21 14:01:01.078996,ADTC,50,250,241,229,432,422,419,91,83,70,81.33333333333333,60.855552,93,0.91,3.29,3.48,2.65,3.54,93,0.0
2022-06-21 14:01:03.084916,ADTC,49,250,242,246,434,433,422,96,88,85,89.66666666666667,67.40135733333334,92,0.86,2.73,4.89,3.89,2.62,92,0.0
2022-06-21 14:01:05.090560,ADTC,49,246,223,226,429,430,415,77,76,92,81.66666666666667,60.680620000000005,95,0.98,4.37,2.79,4.24,4.62,95,0.0
2022-06-21 14:01:07.095045,ADTC,50,225,245,244,406,439,416,70,93,78,80.33333333333333,56.48975733333333,81,0.89,3.55,2.9,4.77,3.19,81,0.0
2022-06-21 14:01:09.099800,ADTC,51,242,236,241,438,430,418,84,82,81,82.33333333333333,62.459384,75,0.94,3.91,3.78,2.97,4.4,75,0.0
2022-06-21 14:01:11.104849,ADTC,51,247,226,250,406,438,409,98,95,94,95.66666666666667,67.27203466666667,99,0.85,4.3,4.1,4.97,4.45,99,0.0
2022-06-21 14:01:13.110275,ADTC,50,234,244,223,424,425,421,71,84,79,78.0,57.280704,72,0.89,4.36,3.04,3.01,3.26,72,0.0
2022-06-21 14:01:15.115474,ADTC,49,226,227,245,415,434,433,81,100,75,85.33333333333333,61.335893333333324,92,0.94,2.99,2.78,2.92,4.91,92,0.0
2022-06-21 14:01:17.120126,ADTC,51,224,221,229,410,427,405,71,87,93,83.66666666666667,59.41337333333334,71,0.98,2.71,4.97,3.94,2.77,71,0.0
2022-06-21 14:01:19.124912,ADTC,49,233,237,235,419,410,418,95,82,75,84.0,60.95947199999999,70,0.89,3.16,4.22,2.52,3.82,70,0.0
2022-06-21 14:01:21.129880,ADTC,50,233,226,225,435,422,416,76,80,93,83.0,62.53385999999999,85,0.9,4.31,4.24,3.33,4.35,85,0.0
2022-06-21 14:01:23.136202,ADTC,51,241,226,232,409,420,431,76,74,93,81.0,57.379428,99,0.97,3.65,3.48,4.54,3.45,99,0.0
2022-06-21 14:01:25.141367,ADTC,51,236,245,243,432,429,422,99,98,71,89.33333333333333,66.84134399999999,72,0.98,3.72,4.26,2.72,3.33,72,0.0
2022-06-21 14:01:27.147087,ADTC,51,222,232,231,420,431,431,90,92,95,92.33333333333333,67.16695999999999,80,1.0,3.39,2.84,4.6,3.85,80,0.0
2022-06-21 14:01:29.152653,ADTC,51,235,234,232,429,406,416,81,76,93,83.33333333333333,61.919,80,0.97,4.6,2.81,2.69,2.99,80,0.0
2022-06-21 14:01:31.158699,ADTC,50,249,237,244,407,433,428,94,75,97,88.66666666666667,62.503261333333334,81,0.9,4.45,4.35,2.91,3.26,81,0.0
2022-06-21 14:01:33.163675,ADTC,51,228,239,226,405,435,437,74,77,88,79.66666666666667,55.88298,91,0.88,2.64,4.97,4.04,3.09,91,0.0
2022-06-21 14:01:35.169660,ADTC,51,232,236,241,420,423,418,84,81,76,80.33333333333333,58.43767999999999,85,0.94,4.37,4.17,4.63,2.58,85,0.0
2022-06-21 14:01:37.175651,ADTC,50,244,228,241,423,416,408,73,86,72,77.0,56.412971999999996,100,0.87,4.09,3.29,4.19,4.96,100,0.0
2022-06-21 14:01:39.179860,ADTC,50,235,223,245,436,407,440,97,74,83,84.66666666666667,63.936202666666674,98,0.96,4.94,3.5,3.41,4.76,98,0.0
2022-06-21 14:01:41.185113,ADTC,50,244,225,237,426,407,420,89,95,78,87.33333333333333,64.437328,76,0.89,4.86,2.63,3.94,4.86,76,0.0
2022-06-21 14:01:43.190129,ADTC,51,237,243,223,420,428,423,74,79,87,80.0,58.1952,100,0.96,4.59,3.86,2.99,4.04,100,0.0
2022-06-21 14:01:45.195132,ADTC,49,223,222,245,409,439,433,78,91,87,85.33333333333333,60.44910933333333,86,0.86,2.89,4.12,3.6,3.66,86,0.0
